complaint_id,original_id,complaint_text,category,department,status,customer_id,date_received,date_resolved,created_at,complaint_text_clean,resolution_time_hours
27,27,I was asked to pay extra money to get my work done faster.,Corruption/Bribery,Administration,Open,CUST2790,2025-08-21 13:06:00,,2026-07-23 20:15:32,asked pay extra money get work done faster,
28,28,No technician has visited despite multiple requests.,Service Delay,Operations,In Progress,CUST2235,2025-07-05 09:27:00,,2026-07-23 20:15:32,technician visited despite multiple requests,
29,29,The staff member was polite and handled my issue very well.,Staff Behavior,Customer Support,Closed,CUST4872,2025-02-21 21:34:00,2025-02-25 03:51:48,2026-07-23 20:15:32,staff member polite handled issue well,78.29666666666667
30,30,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST1035,2025-07-28 19:25:00,2025-07-31 12:20:47,2026-07-23 20:15:32,late fee applied paid time,64.92972222222222
31,31,"The new online system has made things much easier, well done.",Appreciation,Customer Support,In Progress,CUST8973,2025-12-26 07:29:00,,2026-07-23 20:15:32,new online system made things much easier well done,
32,32,"There is a billing error, I already paid but it still shows unpaid.",,Billing,Closed,CUST6138,2025-04-02 09:37:00,2025-04-04 07:23:46,2026-07-23 20:15:32,billing error already paid still shows unpaid,45.779444444444444
33,33,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,In Progress,CUST2312,2025-07-28 11:33:00,,2026-07-23 20:15:32,online payment portal charged twice bill,
34,34,I was asked to pay extra money to get my work done faster.,,Administration,In Progress,CUST5033,2025-08-22 10:55:00,,2026-07-23 20:15:32,asked pay extra money get work done faster,
35,35,The road near the facility is damaged and causing accidents.,Infrastructure,Maintenance,Resolved,CUST5272,2025-08-14 17:42:00,2025-08-22 01:36:42,2026-07-23 20:15:32,road near facility damaged causing accidents,175.91166666666666
36,36,"There is a billing error, I already paid but it still shows unpaid.",,Billing,Closed,CUST6180,2025-04-13 11:08:00,2025-04-15 17:43:50,2026-07-23 20:15:32,billing error already paid still shows unpaid,54.59722222222222
37,37,I want to thank the team for resolving my issue so quickly.,,Customer Support,Closed,CUST4492,2025-01-20 08:36:00,2025-01-20 15:40:29,2026-07-23 20:15:32,want thank team resolving issue quickly,7.074722222222222
38,38,I was treated very disrespectfully by the customer support agent.,,Customer Support,In Progress,CUST8179,2025-12-03 16:56:00,,2026-07-23 20:15:32,treated disrespectfully customer support agent,
39,39,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Resolved,CUST5905,2025-05-26 07:41:00,2025-06-03 00:36:38,2026-07-23 20:15:32,clear favoritism table dealing happening,184.9272222222222
40,40,I want to thank the team for resolving my issue so quickly.,,Customer Support,Open,CUST3546,2025-12-05 15:16:00,,2026-07-23 20:15:32,want thank team resolving issue quickly,
41,41,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Closed,CUST9280,2025-04-11 16:13:00,2025-04-18 10:49:42,2026-07-23 20:15:32,staff keep telling wait nothing happens,162.61166666666668
42,42,The staff at the counter was extremely rude to me today.,,Customer Support,In Progress,CUST3143,2025-02-14 07:53:00,,2026-07-23 20:15:32,staff counter extremely rude today,
43,43,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,Closed,CUST2832,2025-03-15 11:35:00,2025-03-18 18:55:51,2026-07-23 20:15:32,equipment site old frequently malfunctions,79.3475
44,44,My bill amount doubled this month without any explanation.,,Billing,Resolved,CUST3088,2025-07-27 07:23:00,2025-07-30 04:29:47,2026-07-23 20:15:32,bill amount doubled month without explanation,69.11305555555556
45,45,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Open,CUST5088,2025-11-26 10:55:00,,2026-07-23 20:15:32,billing error already paid still shows unpaid,
46,46,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,Closed,CUST4878,2025-09-28 10:26:00,2025-10-09 11:26:07,2026-07-23 20:15:32,equipment site old frequently malfunctions,265.00194444444446
47,47,I was asked to pay extra money to get my work done faster.,,Administration,Closed,CUST7745,2025-11-01 18:11:00,2025-11-11 09:33:27,2026-07-23 20:15:32,asked pay extra money get work done faster,231.37416666666667
48,48,No safety measures are in place despite previous warnings.,Safety Concern,Security,Open,CUST8711,2025-04-26 12:44:00,,2026-07-23 20:15:32,safety measures place despite previous warnings,
49,49,I have been waiting since last month for this issue to be fixed.,,Operations,Closed,CUST4164,2025-05-27 08:50:00,2025-06-03 07:32:08,2026-07-23 20:15:32,waiting since last month issue fixed,166.70222222222222
50,50,The response time for service requests is unacceptably slow.,Service Delay,Operations,Resolved,CUST9785,2025-11-25 13:17:00,2025-12-02 03:28:18,2026-07-23 20:15:32,response time service requests unacceptably slow,158.18833333333333
51,51,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Resolved,CUST1626,2025-02-09 16:11:00,2025-02-21 10:03:12,2026-07-23 20:15:32,three weeks complaint still resolved,281.87
52,52,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST2894,2025-05-26 11:20:00,2025-05-27 17:39:42,2026-07-23 20:15:32,late fee applied paid time,30.328333333333333
53,53,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Resolved,CUST9821,2025-03-02 04:45:00,2025-03-04 08:38:59,2026-07-23 20:15:32,staff keep telling wait nothing happens,51.89972222222222
54,54,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Closed,CUST3041,2025-06-03 13:42:00,2025-06-15 09:05:57,2026-07-23 20:15:32,major leakage fixed weeks,283.39916666666664
55,55,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,In Progress,CUST3085,2025-07-22 18:26:00,,2026-07-23 20:15:32,equipment site old frequently malfunctions,
56,56,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST1006,2025-08-06 09:39:00,2025-08-09 14:01:32,2026-07-23 20:15:32,late fee applied paid time,76.37555555555555
57,57,No technician has visited despite multiple requests.,Service Delay,Operations,Closed,CUST8244,2025-06-19 09:38:00,2025-06-23 08:45:22,2026-07-23 20:15:32,technician visited despite multiple requests,95.12277777777778
58,58,The new infrastructure upgrade has improved things significantly.,,Maintenance,In Progress,CUST9445,2025-07-26 07:47:00,,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,
59,59,The new infrastructure upgrade has improved things significantly.,,Maintenance,In Progress,CUST4262,2025-05-27 10:48:00,,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,
60,60,I was overcharged on my last bill and no one is responding.,,Billing,Closed,CUST7790,2025-04-16 08:39:00,2025-04-19 02:13:32,2026-07-23 20:15:32,overcharged last bill one responding,65.57555555555555
61,61,There is clear favoritism and under-the-table dealing happening.,,Administration,Resolved,CUST1090,2025-04-23 16:24:00,2025-04-30 18:07:30,2026-07-23 20:15:32,clear favoritism table dealing happening,169.725
62,62,I was asked to pay extra money to get my work done faster.,Corruption/Bribery,Administration,Closed,CUST8611,2025-09-08 09:11:00,2025-09-14 21:00:28,2026-07-23 20:15:32,asked pay extra money get work done faster,155.82444444444445
63,63,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Open,CUST9702,2025-11-04 16:29:00,,2026-07-23 20:15:32,bill amount doubled month without explanation,
64,64,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Closed,CUST7991,2025-12-15 18:39:00,2025-12-17 03:56:56,2026-07-23 20:15:32,new online system made things much easier well done,33.29888888888889
65,65,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Closed,CUST5050,2025-06-06 10:47:00,2025-06-12 01:23:07,2026-07-23 20:15:32,clear favoritism table dealing happening,134.60194444444446
66,66,An official demanded a bribe before processing my documents.,,Administration,Resolved,CUST2269,2025-09-17 11:31:00,2025-09-22 19:26:49,2026-07-23 20:15:32,official demanded bribe processing documents,127.93027777777777
67,67,There is a major leakage that has not been fixed for weeks.,,Maintenance,Resolved,CUST4788,2025-05-11 16:57:00,2025-05-11 17:57:00,2026-07-23 20:15:32,major leakage fixed weeks,1.0
68,68,No technician has visited despite multiple requests.,Service Delay,Operations,Resolved,CUST7812,2025-08-03 09:26:00,2025-08-09 02:01:05,2026-07-23 20:15:32,technician visited despite multiple requests,136.5847222222222
69,69,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST7232,2025-06-25 08:37:00,2025-06-27 17:18:46,2026-07-23 20:15:32,late fee applied paid time,56.69611111111111
70,70,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST9818,2025-05-13 10:54:00,2025-05-16 06:07:02,2026-07-23 20:15:32,employee refused help arguing instead assisting,67.21722222222222
71,71,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,In Progress,CUST1475,2025-10-08 13:31:00,,2026-07-23 20:15:32,thank quickly fixing safety issue reported earlier,
72,72,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Closed,CUST9751,2025-09-27 15:29:00,2025-10-03 03:50:44,2026-07-23 20:15:32,waiting since last month issue fixed,132.36222222222221
73,73,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Open,CUST8564,2025-07-22 21:01:00,,2026-07-23 20:15:32,late fee applied paid time,
74,74,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,In Progress,CUST7211,2025-06-07 09:29:00,,2026-07-23 20:15:32,billing error already paid still shows unpaid,
75,75,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Open,CUST6733,2025-04-03 12:30:00,,2026-07-23 20:15:32,waiting since last month issue fixed,
76,76,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Closed,CUST4266,2025-09-21 10:02:00,2025-09-26 06:27:35,2026-07-23 20:15:32,three weeks complaint still resolved,116.4263888888889
77,77,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Closed,CUST4571,2025-03-05 10:30:00,2025-03-11 22:38:27,2026-07-23 20:15:32,clear favoritism table dealing happening,156.14083333333335
78,78,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Resolved,CUST2876,2025-09-06 13:38:00,2025-09-09 01:10:27,2026-07-23 20:15:32,employee refused help arguing instead assisting,59.54083333333333
79,79,No safety measures are in place despite previous warnings.,,Security,Open,CUST7149,2025-12-04 06:37:00,,2026-07-23 20:15:32,safety measures place despite previous warnings,
80,80,No technician has visited despite multiple requests.,,Operations,Resolved,CUST5941,2025-02-23 10:53:00,2025-02-28 01:39:00,2026-07-23 20:15:32,technician visited despite multiple requests,110.76666666666667
81,81,There is clear favoritism and under-the-table dealing happening.,,Administration,Closed,CUST8018,2025-10-26 08:36:00,2025-11-02 08:41:34,2026-07-23 20:15:32,clear favoritism table dealing happening,168.09277777777777
82,82,The road near the facility is damaged and causing accidents.,Infrastructure,Maintenance,Closed,CUST2729,2025-07-11 12:00:00,2025-07-23 15:25:32,2026-07-23 20:15:32,road near facility damaged causing accidents,291.42555555555555
83,83,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST9548,2025-08-27 09:29:00,2025-08-31 07:08:20,2026-07-23 20:15:32,employee refused help arguing instead assisting,93.65555555555555
84,84,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Resolved,CUST5397,2025-08-18 15:49:00,2025-08-20 05:17:00,2026-07-23 20:15:32,new online system made things much easier well done,37.46666666666667
85,85,No technician has visited despite multiple requests.,,Operations,Closed,CUST8613,2025-10-03 14:17:00,2025-10-05 18:59:40,2026-07-23 20:15:32,technician visited despite multiple requests,52.71111111111111
86,86,Very unprofessional behavior from the officer on duty.,Staff Behavior,Customer Support,In Progress,CUST6813,2025-05-16 13:54:00,,2026-07-23 20:15:32,unprofessional behavior officer duty,
87,87,I witnessed a near-accident due to lack of proper signage.,Safety Concern,Security,Closed,CUST9464,2025-05-20 07:44:00,2025-05-23 07:58:11,2026-07-23 20:15:32,witnessed near accident due lack proper signage,72.23638888888888
88,88,I want to thank the team for resolving my issue so quickly.,,Customer Support,Resolved,CUST8800,2025-04-14 09:31:00,2025-04-15 18:22:44,2026-07-23 20:15:32,want thank team resolving issue quickly,32.86222222222222
89,89,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,In Progress,CUST4986,2025-06-01 06:05:00,,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,
90,90,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,In Progress,CUST6419,2025-06-18 14:33:00,,2026-07-23 20:15:32,staff keep telling wait nothing happens,
91,91,I have been waiting since last month for this issue to be fixed.,,Operations,Open,CUST2958,2025-05-09 15:14:00,,2026-07-23 20:15:32,waiting since last month issue fixed,
92,92,No safety measures are in place despite previous warnings.,Safety Concern,Security,In Progress,CUST9595,2025-03-24 02:30:00,,2026-07-23 20:15:32,safety measures place despite previous warnings,
93,93,The road near the facility is damaged and causing accidents.,,Maintenance,Resolved,CUST9751,2025-10-10 13:14:00,2025-10-21 01:09:36,2026-07-23 20:15:32,road near facility damaged causing accidents,251.92666666666668
94,94,I was overcharged on my last bill and no one is responding.,,Billing,Closed,CUST9042,2025-12-18 09:18:00,2025-12-19 09:49:14,2026-07-23 20:15:32,overcharged last bill one responding,24.520555555555557
95,95,I was overcharged on my last bill and no one is responding.,,Billing,Resolved,CUST1841,2025-07-16 15:30:00,2025-07-19 03:24:52,2026-07-23 20:15:32,overcharged last bill one responding,59.91444444444444
96,96,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Resolved,CUST1878,2025-02-03 08:25:00,2025-02-08 00:41:30,2026-07-23 20:15:32,waiting since last month issue fixed,112.275
97,97,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,Open,CUST4697,2025-12-03 10:15:00,,2026-07-23 20:15:32,online payment portal charged twice bill,
98,98,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Closed,CUST6003,2025-06-15 08:19:00,2025-06-20 07:36:11,2026-07-23 20:15:32,security personnel checking ids properly gate,119.2863888888889
99,99,The staff at the counter was extremely rude to me today.,,Customer Support,Closed,CUST4457,2025-08-24 16:06:00,2025-08-26 04:39:03,2026-07-23 20:15:32,staff counter extremely rude today,36.55083333333334
100,100,It has been three weeks and my complaint is still not resolved.,,Operations,Open,CUST8381,2025-03-06 13:35:00,,2026-07-23 20:15:32,three weeks complaint still resolved,
101,101,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,Closed,CUST8438,2025-05-08 13:18:00,2025-05-15 19:20:26,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,174.04055555555556
102,102,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Resolved,CUST4241,2025-12-26 18:50:00,2025-12-28 14:52:50,2026-07-23 20:15:32,bill amount doubled month without explanation,44.047222222222224
103,103,The staff member was polite and handled my issue very well.,,Customer Support,In Progress,CUST1977,2025-04-05 18:58:00,,2026-07-23 20:15:32,staff member polite handled issue well,
104,104,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Closed,CUST8679,2025-08-27 14:36:00,2025-08-28 14:51:01,2026-07-23 20:15:32,billing error already paid still shows unpaid,24.25027777777778
105,105,Poor maintenance of the facility is causing repeated problems.,,Maintenance,Resolved,CUST1653,2025-12-17 15:34:00,2025-12-21 13:55:48,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,94.36333333333333
106,106,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Open,CUST1339,2025-05-09 18:01:00,,2026-07-23 20:15:32,clear favoritism table dealing happening,
107,107,"The new online system has made things much easier, well done.",Appreciation,Customer Support,In Progress,CUST8245,2025-07-25 18:48:00,,2026-07-23 20:15:32,new online system made things much easier well done,
108,108,"Excellent service today, very satisfied with the response.",Appreciation,Customer Support,Closed,CUST8700,2025-12-14 16:40:00,2025-12-15 10:08:18,2026-07-23 20:15:32,excellent service today satisfied response,17.471666666666668
109,109,The response time for service requests is unacceptably slow.,Service Delay,Operations,In Progress,CUST9117,2025-05-04 08:54:00,,2026-07-23 20:15:32,response time service requests unacceptably slow,
110,110,I have been waiting since last month for this issue to be fixed.,,Operations,Resolved,CUST6296,2025-10-18 18:02:00,2025-10-24 05:10:53,2026-07-23 20:15:32,waiting since last month issue fixed,131.14805555555554
111,111,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Closed,CUST7770,2025-11-27 14:00:00,2025-11-29 17:21:24,2026-07-23 20:15:32,late fee applied paid time,51.35666666666667
112,112,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,Resolved,CUST4335,2025-06-25 15:31:00,2025-06-26 16:09:10,2026-07-23 20:15:32,online payment portal charged twice bill,24.636111111111113
113,113,No technician has visited despite multiple requests.,,Operations,Closed,CUST4920,2025-12-15 14:56:00,2025-12-22 02:11:21,2026-07-23 20:15:32,technician visited despite multiple requests,155.25583333333333
114,114,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,Open,CUST2858,2025-07-18 09:26:00,,2026-07-23 20:15:32,equipment site old frequently malfunctions,
115,115,The staff at the counter was extremely rude to me today.,,Customer Support,Closed,CUST5479,2025-08-05 10:31:00,2025-08-07 07:01:37,2026-07-23 20:15:32,staff counter extremely rude today,44.51027777777778
116,116,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Resolved,CUST9327,2025-12-08 16:29:00,2025-12-15 14:43:31,2026-07-23 20:15:32,waiting since last month issue fixed,166.24194444444444
117,117,No safety measures are in place despite previous warnings.,Safety Concern,Security,Closed,CUST9318,2025-11-09 14:49:00,2025-11-13 23:40:36,2026-07-23 20:15:32,safety measures place despite previous warnings,104.86
118,118,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Resolved,CUST9022,2025-05-10 13:53:00,2025-05-15 02:06:16,2026-07-23 20:15:32,three weeks complaint still resolved,108.22111111111111
119,119,An official demanded a bribe before processing my documents.,Corruption/Bribery,Administration,Resolved,CUST8460,2025-07-12 10:21:00,2025-07-16 19:07:32,2026-07-23 20:15:32,official demanded bribe processing documents,104.77555555555556
120,120,"Excellent service today, very satisfied with the response.",Appreciation,Customer Support,Resolved,CUST7730,2025-12-08 09:36:00,2025-12-09 08:51:35,2026-07-23 20:15:32,excellent service today satisfied response,23.259722222222223
121,121,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST3492,2025-08-26 18:24:00,2025-08-29 00:57:00,2026-07-23 20:15:32,late fee applied paid time,54.55
122,122,The staff at the counter was extremely rude to me today.,Staff Behavior,Customer Support,Closed,CUST8213,2025-03-19 14:21:00,2025-03-22 14:43:28,2026-07-23 20:15:32,staff counter extremely rude today,72.37444444444445
123,123,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Closed,CUST2225,2025-01-05 14:26:00,2025-01-08 18:20:28,2026-07-23 20:15:32,late fee applied paid time,75.90777777777778
124,124,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Resolved,UNKNOWN,2025-05-23 12:25:00,2025-05-27 06:26:09,2026-07-23 20:15:32,employee refused help arguing instead assisting,90.01916666666666
125,125,The response time for service requests is unacceptably slow.,,Operations,Closed,CUST2121,2025-08-25 10:31:00,2025-08-28 17:22:23,2026-07-23 20:15:32,response time service requests unacceptably slow,78.85638888888889
126,126,The response time for service requests is unacceptably slow.,,Operations,Resolved,CUST2646,2025-12-24 03:05:00,2025-12-26 23:40:49,2026-07-23 20:15:32,response time service requests unacceptably slow,68.59694444444445
127,127,The employee refused to help and was arguing instead of assisting.,,Customer Support,Closed,CUST7141,2025-11-02 19:20:00,2025-11-06 09:13:42,2026-07-23 20:15:32,employee refused help arguing instead assisting,85.895
128,128,I was treated very disrespectfully by the customer support agent.,,Customer Support,Closed,CUST2293,2025-07-19 20:43:00,2025-07-22 14:16:51,2026-07-23 20:15:32,treated disrespectfully customer support agent,65.56416666666667
129,129,Poor maintenance of the facility is causing repeated problems.,,Maintenance,Closed,CUST8555,2025-08-08 02:31:00,2025-08-18 19:38:12,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,257.12
130,130,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,Closed,CUST9955,2025-04-01 19:57:00,2025-04-11 17:48:32,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,237.85888888888888
131,131,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST5097,2025-12-19 21:19:00,2025-12-21 19:55:06,2026-07-23 20:15:32,late fee applied paid time,46.60166666666667
132,132,The employee refused to help and was arguing instead of assisting.,,Customer Support,Resolved,CUST6881,2025-04-13 17:54:00,2025-04-15 17:30:44,2026-07-23 20:15:32,employee refused help arguing instead assisting,47.61222222222222
133,133,The equipment at the site is old and frequently malfunctions.,,Maintenance,Resolved,CUST1803,2025-01-27 17:42:00,2025-01-31 00:30:43,2026-07-23 20:15:32,equipment site old frequently malfunctions,78.81194444444445
134,134,"Great job by the support team, issue resolved within a day.",Appreciation,Customer Support,Closed,CUST6772,2025-10-10 10:49:00,2025-10-11 12:52:19,2026-07-23 20:15:32,great job support team issue resolved within day,26.05527777777778
135,135,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Closed,CUST3240,2025-08-22 19:48:00,2025-08-23 19:52:54,2026-07-23 20:15:32,bill amount doubled month without explanation,24.081666666666667
136,136,The road near the facility is damaged and causing accidents.,Infrastructure,Maintenance,Resolved,CUST2476,2025-05-15 15:02:00,2025-05-21 00:19:29,2026-07-23 20:15:32,road near facility damaged causing accidents,129.2913888888889
137,137,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Open,CUST6994,2025-09-06 14:12:00,,2026-07-23 20:15:32,new online system made things much easier well done,
138,138,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST5835,2025-10-09 22:58:00,2025-10-13 03:23:38,2026-07-23 20:15:32,employee refused help arguing instead assisting,76.42722222222223
139,139,I witnessed a near-accident due to lack of proper signage.,Safety Concern,Security,Open,CUST7511,2025-10-15 08:04:00,,2026-07-23 20:15:32,witnessed near accident due lack proper signage,
140,140,"The new online system has made things much easier, well done.",,Customer Support,In Progress,CUST7038,2025-02-13 13:00:00,,2026-07-23 20:15:32,new online system made things much easier well done,
141,141,The equipment at the site is old and frequently malfunctions.,,Maintenance,Closed,CUST4830,2025-07-27 17:40:00,2025-08-07 23:27:44,2026-07-23 20:15:32,equipment site old frequently malfunctions,269.79555555555555
142,142,The staff member was polite and handled my issue very well.,,Customer Support,Closed,CUST2035,2025-11-18 15:20:00,2025-11-22 22:02:23,2026-07-23 20:15:32,staff member polite handled issue well,102.7063888888889
143,143,Poor maintenance of the facility is causing repeated problems.,,Maintenance,Resolved,CUST1609,2025-11-10 11:41:00,2025-11-21 20:05:35,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,272.40972222222223
144,144,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Resolved,CUST7078,2025-02-08 16:56:00,2025-02-12 11:56:45,2026-07-23 20:15:32,waiting since last month issue fixed,91.0125
